0000000000000188476240107              202004162020042020041820200501001CLARO S.A.     040432544000147SP01009876000161 FALKLAND TECNOLOGIA EM TELECOM001009876000161V3R0000020042410000884690000024887700060020042410000820200501201      03COBRANCA SIMPLES    000000000000000000                                                                           .
1000000000000288476240107              202004162020041123131777               000001123131777      01710000000000000000000369564000000019606300000000100000000002568800000000439000000000221626           20200501                                                                                                                  11000                    .
2000000000000388476240107              202004162020041123131777               1123131777      00000SAO PAULO      SPR PADRE MACHADO 674           00000        BOSQUE DA                                                                                                                                                                                     .
3000000000000488476240107              202004162020041123131777               110001123131777      2020030611563SAO JOSE DOS CAMPOS      SP 021CLARO S.A.          1232069413       000002120000060110LDNLD NACIONAL OFF NET      17392602500000000000000100000000000010010000041872201DTARIFA DIFERENC00                                                    .
3000000000000588476240107              202004162020041123131777               110001123131777      2020030921000RIO DE JANEIRO           RJ 021CLARO S.A.          2137627570       000000210000036110LDNLD NACIONAL OFF NET      14294902500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000000688476240107              202004162020041123131777               110001123131777      2020030921000RIO DE JANEIRO           RJ 021CLARO S.A.          2137627570       000000210000030110LDNLD NACIONAL OFF NET      16485702500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000000788476240107              202004162020041123131777               110001123131777      2020030921000RIO DE JANEIRO           RJ 021CLARO S.A.          2133228048       000000210000030110LDNLD NACIONAL OFF NET      17142702500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000000888476240107              202004162020041123131777               110001123131777      2020030962046CERES                    GO 021CLARO S.A.          6233231532       000000620000210110LDNLD NACIONAL OFF NET      14240402500000000000000400000000000030010000041872201DTARIFA DIFERENC00                                                    .
3000000000000988476240107              202004162020041123131777               110001123131777      2020030911535RIO CLARO                SP 021CLARO S.A.          1935240827       000000110000036110LDNLD NACIONAL OFF NET      17051302500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000001088476240107              202004162020041123131777               110001123131777      2020030947000FLORIANOPOLIS            SC 021CLARO S.A.          4833328540       000000470000030110LDNLD NACIONAL OFF NET      17124002500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000001188476240107              202004162020041123131777               110001123131777      2020030992000MANAUS                   AM 021CLARO S.A.          9232348890       000009060000030110LDNLD NACIONAL OFF NET      15225002500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000001288476240107              202004162020041123131777               110001123131777      2020030931361IPATINGA                 MG 021CLARO S.A.          3138487189       000000310000030110LDNLD NACIONAL OFF NET      16215802500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
3000000000001388476240107              202004162020041123131777               110001123131777      2020030932548UBERABA                  MG 021CLARO S.A.          3433121637       000000350000078110LDNLD NACIONAL OFF NET      15313402500000000000000100000000000010010000041872201DTARIFA DIFERENC00                                                    .
3000000000001488476240107              202004162020041123131777               110001123131777      2020030981000RECIFE                   PE 021CLARO S.A.          8141190564       000002090000102110LDNLD NACIONAL OFF NET      17214702500000000000000100000000000010010000041872201DTARIFA DIFERENC00                                                    .
3000000000001588476240107              202004162020041123131777               110001123131777      2020030911037ARACATUBA                SP 021CLARO S.A.          1836228121       000000110000084110LDNLD NACIONAL OFF NET      15391302500000000000000100000000000010010000041872201DTARIFA DIFERENC00                                                    .
3000000000001688476240107              202004162020041123131777               110001123131777      2020030911563SAO JOSE DOS CAMPOS      SP 021CLARO S.A.          1238925921       000000110000066110LDNLD NACIONAL OFF NET      13512402500000000000000100000000000010010000041872201LTARIFA NORMAL -00                                                    .
3000000000001788476240107              202004162020041123131777               110001123131777      2020030911428OURINHOS                 SP 021CLARO S.A.          1433226541       000000110000084110LDNLD NACIONAL OFF NET      16380602500000000000000100000000000010010000041872201DTARIFA DIFERENC00                                                    .
3000000000001888476240107              202004162020041123131777               110001123131777      2020030911326JUNDIAI                  SP 0                      1145871300       000000110000078110LDNLD NACIONAL OFF NET      17305802500000000000000100000000000010010000041872201DTARIFA DIFERENC00                                                    .
3000000000001988476240107              202004162020041123131777               110001123131777      2020030927121LINHARES                 ES 021CLARO S.A.          2732640493       000000270000144110LDNLD NACIONAL OFF NET      14392702500000000000000200000000000020010000041872201DTARIFA DIFERENC00                                                    .
3000000000002088476240107              202004162020041123131777               110001123131777      2020030921000RIO DE JANEIRO           RJ 021CLARO S.A.          2124220693       000009060000048110LDNLD NACIONAL OFF NET      14450702500000000000000000000000000000010000041872201DTARIFA DIFERENC00                                                    .
